IncidentGroup;StopCodeDescription;PropertyCategory;PropertyType;AddressQualifier;Postcode_district;IncGeo_BoroughCode;ProperCase;IncidentStationGround;FirstPumpArriving_DeployedFromStation
;;;Cables ;;NW1;;;;
;;;Heathland ;;E5;;;;
;;;Other industrial manufacturing facility;;RM7;;;;
;;;Other animal boarding/breeding establishment;;TW9;;;;
;;;Casino ;;SW7;;;;
;;;Lake/pond/reservoir ;;SW1P;;;;
;;;Private garage ;;SE2;;;;
;;;Post office (within other shop/premises) ;;HA1;;;;
;;;Passenger plane ;;E11;;;;
;;;Garden equipment ;;W15;;;;
;;;Kiosk ;;SW5;;;;
;;;Prison ;;EN3;;;;
;;;Chemical plant;;UB1;;;;
;;;Other outdoor sporting venue ;;EN2;;;;
;;;House in Multiple Occupation - Up to 2 storeys (not known if licensed) ;;SE11;;;;
;;;Estate Agent ;;UB2;;;;
;;;Vehicle sales building;;IG8;;;;
;;;Vehicle Repair Workshop;;SW1A;;;;
;;;Sports pavilion/shower block/changing facility ;;E1W;;;;
;;;Other indoor sporting venue ;;EC3A;;;;
;;;Young offenders unit ;;SM5;;;;
;;;Bulk waste storage;;N10;;;;
;;;Ambulance station ;;WC2E;;;;
;;;Manufacturing assembly plant;;HA3;;;;
;;;House in Multiple Occupation - 3 or more storeys (not known if licensed);;IG3;;;;
;;;Boarding School accommodation ;;SW17;;;;
;;;Other transport building ;;SW1W;;;;
;;;Other cultural venue ;;UB9;;;;
;;;Railway ;;UB7;;;;
;;;Other entertainment venue ;;W4;;;;
;;;Gas works ;;W1T;;;;
;;;Barbecue;;RM11;;;;
;;;Trains - engine shed ;;EC1N;;;;
;;;Sports Hall ;;N18;;;;
;;;Tunnel/ subway ;;RM12;;;;
;;;Train on Tube network;;IG5;;;;
;;;Minibus ;;SW1X;;;;
;;;Underground train : Other system ;;TW8;;;;
;;;Temporary office (eg portacabin) ;;BR4;;;;
;;;Temple ;;NW11;;;;
;;;Other Religious Use Building;;CR5;;;;
;;;Passenger Train (national rail network) ;;HA0;;;;
;;;Recycling collection point/ bottle bank;;BR2;;;;
;;;Nurseries/ market garden ;;W1F;;;;
;;;Canal/riverbank vegetation ;;EC2V;;;;
;;;Boarding House/B&B other ;;SE10;;;;
;;;Mosque ;;DA14;;;;
;;;Airport - fuel storage ;;N12;;;;
;;;Electrical warehouse ;;SM1;;;;
;;;Water works ;;TW10;;;;
;;;Concert Hall ;;TW2;;;;
;;;Railway building - other;;SW20;;;;
;;;Bulk gas storage;;UB8;;;;
;;;Animal products processing plant;;RM9;;;;
;;;Tennis Courts ;;W8;;;;
;;;Bulk oil storage;;SE12;;;;
;;;Railings;;N2;;;;
;;;Bulk hazardous materials storage;;CR7;;;;
;;;Straw/stubble burning ;;EC3R;;;;
;;;Airfield/runway ;;SW1Y;;;;
;;;Caravan/Mobile home (permanent dwelling);;EC2Y;;;;
;;;Woodland/forest - conifers/softwood ;;TN16;;;;
;;;Railway trackside vegetation ;;EN4;;;;
;;;Greyhound stadium ;;E12;;;;
;;;Tractor Shed ;;RM13;;;;
;;;Mine or quarry (not above ground building);;HA4;;;;
;;;Towing caravan/Camper van on site;;W1D;;;;
;;;Indoor stadium ;;W1G;;;;
;;;Telephone exchange;;W1K;;;;
;;;Docks ;;N20;;;;
;;;Intensive Farming Sheds (chickens/ pigs etc) ;;CR8;;;;
;;;Houseboat (permanent dwelling) ;;N5;;;;
;;;Animal boarding/breeding establishment - dogs;;SM6;;;;
;;;Railway goods yard ;;DA15;;;;
;;;Rugby Stadium ;;TW5;;;;
;;;Stacked/baled crop ;;NW4;;;;
;;;Travel Agent ;;W1X;;;;
;;;Theme Park ;;DA1;;;;
;;;Private Summer house ;;TW7;;;;
;;;Private greenhouse ;;RM4;;;;
;;;Camping tent ;;KT5;;;;
;;;Cricket ground ;;DA16;;;;
;;;Other vessel ;;SE27;;;;
;;;Agricultural vehicle;;N14;;;;
;;;Beach ;;SE24;;;;
;;;Landfill site ;;DA17;;;;
;;;Zoo ;;DA7;;;;
;;;Caravan on tow ;;WC1E;;;;
;;;Standing crop ;;EC1R;;;;
;;;Oil refinery ;;BR6;;;;
;;;Other agricultural building ;;IG4;;;;
;;;Agricultural equipment ;;EC1Y;;;;
;;;Helicopter ;;W1S;;;;
;;;Barge ;;EC3V;;;;
;;;Motor yacht ;;SM3;;;;
;;;Other aircraft;;WC2A;;;;
;;;Light aircraft ;;W13;;;;
;;;Road Tanker ;;W1W;;;;
;;;Other holiday residence (cottage/ flat/ chalet) ;;SW1H;;;;
;;;Milking Parlour ;;SW10;;;;
;;;Boat - Tanker;;WC1X;;;;
;;;Athletics Stadium ;;SE19;;;;
;;;Barn ;;KT3;;;;
